id_usuario,pais,fecha_registro,genero,email
1,Chile,2025-05-26T06:38:20,Femenino,user_1_anon@ecommerce.com
2,Perú,2024-03-10T01:47:19,Masculino,user_2_anon@ecommerce.com
3,Chile,2026-04-08T02:17:07,,user_3_anon@ecommerce.com
4,Chile,2025-06-28T05:01:51,No binario,user_4_anon@ecommerce.com
5,Perú,2025-09-16T11:12:09,Femenino,user_5_anon@ecommerce.com
6,Colombia,2026-01-01T02:42:34,Masculino,user_6_anon@ecommerce.com
7,Chile,2024-02-03T12:13:29,Femenino,user_7_anon@ecommerce.com
8,Colombia,2023-12-20T11:05:40,Masculino,user_8_anon@ecommerce.com
9,Colombia,2023-11-19T14:19:29,Femenino,user_9_anon@ecommerce.com
10,Colombia,2024-08-09T02:23:55,Masculino,user_10_anon@ecommerce.com
11,Perú,2026-05-19T16:02:59,Femenino,user_11_anon@ecommerce.com
12,Colombia,2025-10-11T04:38:18,Femenino,user_12_anon@ecommerce.com
13,Chile,2024-12-05T04:46:54,Femenino,user_13_anon@ecommerce.com
14,Colombia,2024-07-08T21:24:25,,user_14_anon@ecommerce.com
15,Perú,2025-03-04T16:38:59,Masculino,user_15_anon@ecommerce.com
16,Perú,2024-07-21T06:44:05,Femenino,user_16_anon@ecommerce.com
17,Perú,2026-04-29T08:23:27,No binario,user_17_anon@ecommerce.com
18,Perú,2024-12-08T18:28:34,Masculino,user_18_anon@ecommerce.com
19,Perú,2023-10-12T03:47:25,,user_19_anon@ecommerce.com
20,Chile,2025-10-30T22:25:31,Femenino,user_20_anon@ecommerce.com
21,Colombia,2025-11-13T14:39:03,Femenino,user_21_anon@ecommerce.com
22,Perú,2023-09-06T09:57:32,Femenino,user_22_anon@ecommerce.com
23,Colombia,2024-09-18T18:05:54,No binario,user_23_anon@ecommerce.com
24,Perú,2024-06-01T01:10:22,Femenino,user_24_anon@ecommerce.com
25,Chile,2023-08-13T05:33:39,Masculino,user_25_anon@ecommerce.com
26,Colombia,2025-09-15T14:18:30,Masculino,user_26_anon@ecommerce.com
27,Colombia,2025-03-01T20:38:35,Masculino,user_27_anon@ecommerce.com
28,Colombia,2024-05-15T14:55:09,Masculino,user_28_anon@ecommerce.com
29,Chile,2024-11-06T16:02:03,Femenino,user_29_anon@ecommerce.com
30,Chile,2024-11-21T11:57:38,Femenino,user_30_anon@ecommerce.com
31,Perú,2024-11-15T05:26:45,Femenino,user_31_anon@ecommerce.com
32,Chile,2024-08-29T18:20:44,Masculino,user_32_anon@ecommerce.com
33,Chile,2024-08-16T02:12:51,No binario,user_33_anon@ecommerce.com
34,Chile,2024-11-10T15:31:17,Femenino,user_34_anon@ecommerce.com
35,Colombia,2024-03-02T10:53:55,Masculino,user_35_anon@ecommerce.com
36,Perú,2023-07-17T13:17:24,Masculino,user_36_anon@ecommerce.com
37,Perú,2025-01-30T03:51:46,Femenino,user_37_anon@ecommerce.com
38,Colombia,2024-01-11T13:05:40,Femenino,user_38_anon@ecommerce.com
39,Colombia,2023-11-10T10:30:29,Masculino,user_39_anon@ecommerce.com
40,Colombia,2023-06-27T17:37:57,Masculino,user_40_anon@ecommerce.com
41,Perú,2024-01-12T10:09:04,Femenino,user_41_anon@ecommerce.com
42,Colombia,2025-01-12T11:26:36,No binario,user_42_anon@ecommerce.com
43,Colombia,2024-07-11T12:13:56,Femenino,user_43_anon@ecommerce.com
44,Perú,2023-08-18T04:18:28,No binario,user_44_anon@ecommerce.com
45,Chile,2025-03-29T18:51:08,Femenino,user_45_anon@ecommerce.com
46,Chile,2023-08-20T20:54:35,Masculino,user_46_anon@ecommerce.com
47,Perú,2025-03-26T13:15:02,Masculino,user_47_anon@ecommerce.com
48,Chile,2024-07-28T04:19:45,Femenino,user_48_anon@ecommerce.com
49,Colombia,2023-12-04T08:33:35,Masculino,user_49_anon@ecommerce.com
50,Chile,2025-02-07T03:39:58,Femenino,user_50_anon@ecommerce.com
51,Perú,2023-11-18T14:56:42,Femenino,user_51_anon@ecommerce.com
52,Chile,2024-03-30T04:44:19,Masculino,user_52_anon@ecommerce.com
53,Colombia,2024-02-20T02:12:29,Femenino,user_53_anon@ecommerce.com
54,Perú,2024-11-26T00:59:02,Masculino,user_54_anon@ecommerce.com
55,Perú,2025-03-05T13:25:37,Masculino,user_55_anon@ecommerce.com
56,Chile,2026-04-23T22:29:25,Femenino,user_56_anon@ecommerce.com
57,Perú,2024-02-06T19:18:19,Femenino,user_57_anon@ecommerce.com
58,Perú,2024-07-28T04:34:26,,user_58_anon@ecommerce.com
59,Perú,2024-02-03T23:17:45,,user_59_anon@ecommerce.com
60,Chile,2026-01-20T13:23:22,Masculino,user_60_anon@ecommerce.com
61,Perú,2026-02-16T19:29:19,Masculino,user_61_anon@ecommerce.com
62,Chile,2025-05-23T07:42:55,Femenino,user_62_anon@ecommerce.com
63,Chile,2026-05-31T12:33:52,Masculino,user_63_anon@ecommerce.com
64,Perú,2025-07-19T22:49:47,Femenino,user_64_anon@ecommerce.com
65,Colombia,2023-12-09T20:31:48,Femenino,user_65_anon@ecommerce.com
66,Perú,2026-03-01T23:50:18,Femenino,user_66_anon@ecommerce.com
67,Perú,2024-05-31T14:10:01,Femenino,user_67_anon@ecommerce.com
68,Chile,2025-02-11T11:48:27,Femenino,user_68_anon@ecommerce.com
69,Chile,2026-04-17T09:33:40,No binario,user_69_anon@ecommerce.com
70,Chile,2023-06-29T23:55:33,Femenino,user_70_anon@ecommerce.com
